playerid,team,pos,eligibility,B/T,height,weight,grade,homestate,first,middle,last,suffix,jersey,homecity,school,draftstatus
1555205,KN,I,2022-06-07,R/R,71,185,2,NJ,Tony,,Santa Maria,,3,Absecon,Rutgers University New Brunswick, 
1565546,SN,P,2022-06-07,R/R,74,210,2,MA,Matthew,,Sapienza,,32,North Andover,Georgetown University, 
1596309,MV,P,2022-06-10,L/R,78,255,4,MA,James,,Sashin,,36,Oak Bluffs,University of San Diego, 
1585574,NW,C,2022-06-07,L/R,76,215,4,NY,Jack,,Scanlon,,27,Sloatsburg,University of Oregon, 
1561676,MV,P,2022-06-07,L/L,75,195,2,NY,Rafe,,Schlesinger,,29,Holbrook,University of Miami, 
1602826,MY,P,2022-07-13,R/R,75,220,4,MA,Rian,,Schwede,,27,Hanson,Endicott College, 
1549145,VT,P,2022-06-07,L/L,71,190,2,MA,Matthew,,Scibilio,,35,Scituate,Colby College, 
1553741,NW,P,2022-06-07,R/R,73,205,4,NJ,Kevin,,Seitter,,18,Ridgewood,Quinnipiac University, 
1551394,OS,P,2022-06-07,R/R,74,210,2,DE,Joseph,,Sheets,,18,Wilmington,Columbia University, 
1551878,VL,I,2022-06-07,L/R,71,190,3,PA,Anthony,,Sherwin,,8,Harrsion City,Bucknell University, 
1605243,VL,C,2022-07-20,R/R,70,185,3,MA,Kohtaro,,Shimada,,13,Woburn,Western New England College, 
1579783,VT,P,2022-06-07,R/R,72,180,3,FL,Jake,,Simon,,12,Lake Worth,Fairleigh Dickinson University, 
1599255,MY,P,2022-06-27,R/R,75,265,2,CT,Zachary,,Simone,,47,Colchester,University of Tampa, 
1553356,NW,P,2022-06-07,R/R,72,180,4,KY,Garret,,Simpson,,11,Mt. Washington,Wright State University, 
1606286,OS,I,2022-07-22,R/R,69,165,4,RI,Dustin,,Siqueira,,6,Newport,Salve Regina University, 
1553822,VT,O,2022-06-07,R/R,76,205,4,NJ,Gerry,,Siracusa,,45,Kinnelon,University of Massachusetts Lowell, 
1553907,SN,O,2022-06-07,R/R,72,195,3,MA,Kevin,,Skagerlind,,17,Holden,University of Massachusetts Amherst, 
1553524,DN,C,2022-06-07,R/R,69,180,4,CT,Joseph,,Skarad,,3,Stamford,Sacred Heart University, 
1555850,KN,P,2022-06-07,R/R,72,175,2,FL,Riley,,Skeen,,4,Pompano Beach,Florida Southwestern State, 
1604924,UV,P,2022-07-18,R/R,70,185,4,VA,Sam,,Slevin,,23,Virginia Beach,Randolph-Macon College, 
1555764,NS,P,2022-06-07,L/L,73,185,2,FL,Cooper,,Smith,,40,Naples,Stetson University, 
1600203,BR,P,2022-06-30,R/R,69,150,4,CT,Matt,,Smith,,12,Wethersfield,Southern Connecticut State University, 
1555759,BR,O,2022-06-07,L/R,69,150,3,PA,Matt,D,Smith,,23,Churcville,Bryant University, 
1556791,NW,I,2022-06-07,L/R,74,190,4,MA,Spenser,,Smith,,2,Wellesley,Northeastern University, 
1576911,MV,I,2022-06-07,R/R,75,225,4,CA,Michael,,Snyder,,14,Woodland Hills,University of Washington, 
1565067,UV,O,2022-06-07,L/R,70,160,2,NJ,Tyler,,Sorrentino,,11,Roseland,College of Charleston, 
1553991,NW,P,2022-06-07,R/R,77,210,3,FL,Cole,,Stasio,,34,Davie,Baylor University, 
1555711,UV,C,2022-06-07,R/R,72,215,4,AL,Clay,,Stearns,,17,Birmingham,Troy University, 
1558134,SN,P,2022-06-07,R/R,78,225,3,NJ,Gavin,,Stellpflug,,39,Whitehouse Station,University of Maryland College Park, 
1555288,BR,O,2022-06-07,L/R,72,175,2,MA,Zach,,Stephenson,,18,Mansfield,University of Connecticut, 
1593930,MV,P,2022-06-07,R/R,78,220,4,CT,Adam,,Stone,,32,Stamford,Harvard University, 
1553744,DN,C,2022-06-07,R/R,77,225,3,NJ,Alex,,Stone,,27,Andover,Duke University, 
1586969,DN,O,2022-06-07,R/R,72,185,4,CT,Henry,,Strmecki,,45,Wilton,University of Dayton, 
1584169,OS,O,2022-06-07,R/R,71,190,4,RI,Jake,,Studley,,22,Barrington,University of Connecticut, 
1609316,BR,C,2022-07-25,R/R,70,185,4,NY,Billy,,Sullivan,,29,Valley Cottage,Southern Connecticut State University, 
1601834,VL,P,2022-07-08,R/R,72,180,2,MA,Nolan,,Sullivan,,16,Granby,Nichols College, 
1603568,SN,P,2022-07-17,R/L,71,195,4,ME,Owen,,Sullivan,,23,Biddeford,University of Southern Maine, 
1565254,UV,I,2022-06-07,L/R,75,230,3,FL,William,,Sullivan,,30,Orlando,Troy University, 
1565049,BR,I,2022-06-07,R/R,70,190,4,VA,Carson,,Swank,,7,Ashburn,Yale University, 
1606677,UV,P,2022-07-23,R/R,75,190,3,MA,Jack,,Swarbrick,,32,Haverhill,Emory & Henry College, 
1583976,NS,P,2022-06-07,L/R,73,190,4,MA,Max,,Tarlin,,43,Sharon,Endicott College, 
1600176,NS,C,2022-06-29,R/R,69,185,3,GA,Charlie,,Taylor,,36,Sandy Springs,University of Tennessee, 
1548213,DN,I,2022-06-07,L/R,71,170,2,IN,Jackson,,Taylor,,1,Muncie,Indiana State University, 
1573161,BR,I,2022-06-07,R/R,75,200,3,CT,Derek,,Tenney,,54,Wethersfield,University of Hartford, 
