playerid,team,pos,eligibility,B/T,height,weight,grade,homestate,first,middle,last,suffix,jersey,homecity,school,draftstatus
1553898,SN,C,2022-06-07,L/R,72,200,4,CA,Adam,,Dapkewicz,,19,Davis,Georgetown University, 
1584559,KN,C,2022-06-07,R/R,77,225,4,NH,Nate,,Darwin,,32,Keene,LaGrange College, 
1555073,KN,P,2022-06-07,L/L,71,187,4,MO,Zachary,,Davidson,,1,Hartsburg,Radford University, 
1564753,WN,I,2022-06-07,L/R,71,185,2,NH,Brady,,Day,,17,Hampstead,Kansas State University, 
1555236,UV,O,2022-06-07,R/R,75,190,4,NY,Johnny,,Decker,,2,Coeymans Hollow,Marist College, 
1568912,WN,P,2022-06-07,R/R,70,185,3,NH,Ryan,,Dee,,9,Laconia,University of Hartford, 
1598958,VT,P,2022-06-23,R/L,71,180,3,NY,Anthony,,DeFabbia,,24,Bronxville,Stetson University, 
1590628,UV,P,2022-06-07,R/R,74,210,3,PA,Chic,,DeGaetano,,43,Sugarloaf,Villanova University, 
1550936,MY,C,2022-06-07,R/R,75,200,4,NY,Jackson,,DeJohn,,9,Rochester,Saint Bonaventure University, 
1555543,NS,O,2022-06-07,R/R,71,186,3,  ,Stan,,DeMartinis,III,24,Boca Raton,Bryant University, 
1600055,WN,C,2022-06-28,R/R,70,220,4,MA,Zach,,DeMattio,,45,North Attleboro,Wheaton College, 
1603728,KN,P,2022-07-16,R/R,75,210,4,NY,Ryan,,Deo,,12,Averill Park,Southern New Hampshire University, 
1551426,VL,P,2022-06-07,R/L,72,195,3,NY,Chris,,DiFiore,,7,Mount Kisco,Bucknell University, 
1558732,VT,O,2022-06-07,R/R,71,190,4,NJ,Stephen,,DiTomaso,,4,Haddonfield,George Washington University, 
1554499,NA,I,2022-06-07,R/R,70,180,4,NJ,Tommy,,DiTullio,,51,Point Pleasant,Bryant University, 
1602472,OS,I,2022-07-11,R/R,71,200,4,RI,Braydon,,Dolbashian,,20,Johnston,Merrimack College, 
1602155,VT,P,2022-07-10,R/R,71,175,4,NY,Aaron,,Dona,,2,Gloversville,Saint Thomas Aquinas College, 
1555309,NS,I,2022-06-07,L/R,69,170,2,SC,Ty,,Dooley,,3,Elgin,Coastal Carolina University, 
1574018,SN,P,2022-06-07,L/R,73,215,4,NC,Ryan,,Douglas,,18,Climax,University of North Carolina Asheville , 
1555900,KN,P,2022-06-07,L/L,76,215,4,IL,Adam,,Dowler,,28,Aurora,University of Louisville, 
1552606,NA,C,2022-06-07,L/R,71,185,4,NY,Carson,,Dunkel,,3,Gansevoort,University of Albany, 
1554595,BR,P,2022-06-07,R/R,73,180,3,CT,Jagger,,Duquette,,22,Bristol,Wagner College, 
1583545,VT,P,2022-06-07,R/R,75,225,3,FL,Nick,,Durgin,,22,Melbourne,Stetson University, 
1601752,NA,P,2022-07-07,R/R,76,230,4,CA,Jack,,Dyke,,6,San Francisco,Northwestern University, 
1563615,MY,P,2022-06-07,L/L,72,200,2,TX,Reid,,Easterly,,12,Katy,Yale University, 
1563482,NA,I,2022-06-07,R/R,70,170,3,FL,Tyler,,Epstein,,15,Boynton Beach,Nova Southeastern University, 
1548793,OS,P,2022-06-07,R/R,75,210,3,NJ,Jack,,Erbeck,,23,Sea Bright,Fairfield University, 
1558683,NS,P,2022-06-07,R/L,72,195,4,MA,Nathaniel,,Espelin,,19,Belmont,University of Dayton, 
1592527,OS,P,2022-06-07,R/R,74,210,4,MD,Brooks,,Ey,,35,Catonsville,Virginia Commonwealth University, 
1552252,VL,I,2022-06-07,R/R,71,180,3,NJ,Blaze,,Fadio,,36,Audubon,Lafayette College, 
1553397,VL,C,2022-06-07,L/R,70,192,3,CT,Christian,,Fagnant,,10,East Granby,Amherst College, 
1606555,DN,P,2022-07-22,R/L,69,180,2,CT,Jon,,Fallacaro,,31,Fairfield,Adelphi University, 
1586731,BR,P,2022-06-07,L/L,75,230,4,VA,John,,Farley,,38,Clifton,Manhattan College, 
1549334,NW,I,2022-06-07,L/R,69,180,4,MI,Trent,,Farquhar,,4,Highland,Michigan State University, 
1590918,SN,P,2022-06-07,R/R,75,195,4,NJ,Sonny,,Fauci,,27,Old Bridge,Saint Johns University, 
1579664,UV,C,2022-06-07,L/R,70,185,3,ON,Nicholas,,Fazzari,,4,Thunder Bay,Charleston Southern University, 
1570215,DN,O,2022-06-07,R/R,73,215,2,CT,Harrison,,Feinberg,,43,Greenwich,University of Southern California, 
1588466,NA,P,2022-06-07,R/R,75,210,4,NC,Alex,,Fenton,,46,Pineville,Davidson College, 
1605993,MY,P,2022-07-21,R/R,73,185,4,RI,Holden,,Ferrari,,13,Bristol,Salve Regina University, 
1569930,MY,O,2022-06-21,R/R,70,198,3,CT,Kevin,,Ferrer,,23,Pawcatuck,University of Connecticut, 
1586099,WN,I,2022-06-07,L/R,69,160,4,NY,Randy,,Flores,,2,Brooklyn,Stony Brook University, 
1598337,NS,O,2022-06-19,R/R,70,193,3,GA,Jarrett,,Ford,,1,Decatur,University of Dayton, 
1596521,BR,I,2022-06-11,L/R,69,175,2,CT,Tyler,,Fote,,15,Wethersfield,Central Connecticut State University, 
1555239,VT,I,2022-06-07,R/R,69,165,2,NY,Evan,,Fox,,1,Ballston Spa,Stony Brook University, 
1564260,NA,O,2022-06-07,L/R,74,200,3,FL,Cesar,,Franco,,27,Weston,Chipola College, 
1555013,MV,I,2022-06-07,R/R,76,235,2,FL,Marcus,,Franco,,11,Miramar,Nova Southeastern University, 
1565597,VL,O,2022-06-07,R/R,73,215,4,NY,Sam,,Franco,,32,Bardonia,Purdue University, 
1552671,NW,O,2022-06-07,R/R,75,210,3,CA,Kolton,,Freeman,,19,Laguna Beach,Dartmouth College, 
1601935,SN,P,2022-07-09,R/R,73,200,4,NY,Carson,,Frye,,26,Pleasantville,Georgetown University, 
1548788,NA,I,2022-06-07,R/R,74,205,3,OH,Ryan,,Galanie,,28,Mason,Wofford College, 
1604970,NA,P,2022-07-18,R/R,71,160,2,NY,Dan,,Galef,,12,Ossining,Franklin & Marshall College, 
1596240,MV,P,2022-06-10,R/R,78,175,4,FL,Ronaldo,,Gallo,,17,Miami,University of Miami, 
1586864,OS,P,2022-06-07,L/L,76,225,4,CT,Brandyn,,Garcia,,32,East Granby,Quinnipiac University, 
1596102,NW,P,2022-06-10,R/R,77,235,4,FL,Jake,,Garland,,29,Jupiter,University of Miami, 
1587349,BR,P,2022-06-07,R/R,73,190,4,CT,Luke,,Garofalo,,24,Middlefield,Central Connecticut State University, 
1609633,BR,C,2022-07-26,L/R,69,185,2,RI,Jacob,,Gaudreau,,30,Mapleville,Bryant University, 
1551391,DN,O,2022-06-07,R/R,73,190,2,PA,Billy,,Gerlott,,7,Auburn,Penn State University, 
1602537,NA,P,2022-07-12,R/R,76,230,4,NY,Anthony,,Germinerio,,50,Troy,George Washington University, 
1587255,NS,P,2022-06-07,R/R,73,185,3,MA,Jake,,Gigliotti,,18,Boston,Northeastern University, 
1601601,VT,C,2022-07-06,R/R,72,205,4,GA,Cameron,,Gill,,3,Alpharetta,Wofford College, 
1581938,NW,P,2022-06-07,R/L,71,200,2,  ,Ryan,,Ginther,,17,Gallatin,Vanderbilt University, 
1555818,SN,P,2022-06-07,L/L,73,175,4,CO,Zackary,,Given,,20,Boulder,University of Massachusetts Amherst, 
1552216,OS,P,2022-06-07,L/L,76,215,3,MD,Ryan,,Gleason,,42,Laytonsville,Charleston Southern University, 
1585140,UV,C,2022-06-07,R/R,75,215,4,GA,Michael,,Goehrig,,12,Suwanee,Eastern Kentucky University, 
1549122,MV,I,2022-06-07,L/R,69,180,2,FL,Dorian,,Gonzalez,,6,Miami,University of Miami, 
1583686,MY,P,2022-06-07,R/R,74,205,4,NJ,Ben,,Gorski,,26,Chatham,Rutgers University New Brunswick, 
1583416,DN,P,2022-06-07,L/L,76,215,4,NJ,Zach,,Grace,,30,Erial,Wake Forest University, 
1595131,UV,I,2022-06-09,L/R,72,200,2,NB,Max,,Grant,,9,Fredericton,Canisius College, 
1556132,WN,O,2022-06-07,R/R,74,190,3,CA,Tyler,,Grodell,,24,Santa Clarita,Mt State Mary's University, 
1583194,NW,P,2022-06-07,R/R,77,200,3,VA,Josh,,Grosz,,38,Virginia Beach,East Carolina University, 
1599443,VL,O,2022-06-25,R/R,72,195,2,WA,Antonio,,Guerrero,,43,Fife,University of Washington, 
1597486,NS,I,2022-06-15,L/R,70,185,4,MA,Jake,,Gustin,,4,Peabody,Bryant University, 
1598596,UV,P,2022-06-21,R/R,77,215,2,TN,Ryan,,Hagenow,,24,Knoxville,University of Kentucky, 
1552630,NA,I,2022-06-07,L/R,70,180,3,PA,Kyle,,Hannon,,2,Etters,Penn State University, 
1606644,BR,P,2022-07-23,R/R,73,200,2,NJ,Cole,,Hansen,,11,Skillman,Seton Hall University, 
1578196,VL,O,2022-06-07,L/R,76,200,3,CA,Chase,,Hanson,,3,Huntington Beach,Hope International University, 
1584050,VT,P,2022-06-07,R/R,74,180,4,MA,Jackson,,Harrigan,,20,Acton,Bryant University, 
1599265,WN,P,2022-06-25,R/R,73,210,4,NH,Patrick,,Harrington,,21,Bedford,Northeastern University, 
1583197,MY,P,2022-06-07,R/R,80,240,3,CT,Connor,,Harris,,65,Avon,George Washington University, 
1555151,BR,I,2022-06-07,L/R,72,190,3,NJ,Jay,,Harry,,1,Metuchen,Penn State University, 
1556126,NA,P,2022-06-07,L/L,76,220,3,NY,Will,,Hearn,,29,North Tonawanda,University of San Francisco, 
1548003,OS,I,2022-06-07,R/R,77,255,4,IN,Brodey,,Heaton,,27,Newburgh,Belmont University, 
1579565,NS,P,2022-06-07,R/L,75,215,2,MA,Peyton,,Heisner,,27,Lexington,Merrimack College, 
1606548,DN,P,2022-07-23,R/R,72,190,4,PA,Carter,,Heller,,24,Quakertown,Gardner-Webb University, 
1601659,KN,P,2022-07-07,R/R,76,190,2,AL,Cason,,Henry,,27,Florence,Northwest Shoals Community College, 
1597561,SN,O,2022-06-16,R/L,75,210,3,NH,Calvin,,Hewett,,24,Greenland,Vanderbilt University, 
1552211,MV,P,2022-06-07,L/L,78,210,2,GA,Camron,,Hill,,34,Fayetteville,Georgia Tech, 
1579791,SN,P,2022-06-07,L/R,75,210,3,OH,Spencer,,Hill,,21,New Albany,University of North Carolina Asheville , 
1549054,DN,P,2022-06-07,R/R,75,200,4,CT,Sean,,Hogan,,13,Westport,Williams College, 
1565832,UV,O,2022-06-07,R/R,74,205,3,KY,Jonathan,,Hogart,,8,Madisonville,Louisiana Tech University, 
1600476,KN,P,2022-07-01,L/R,73,220,4,NJ,Nick,,Hohenstein,,31,Lincroft,Siena College, 
1602244,WN,P,2022-07-10,R/R,70,200,4,MA,Ryan,,Hohmann,,38,Norwell,Salve Regina University, 
1549057,OS,I,2022-06-07,R/R,72,195,4,OH,Drew,,Holderbach,,12,Fairfield,Marietta College, 
1599168,BR,I,2022-06-25,R/R,75,245,4,SC,Ben,,Huber,,25,Pendleton,University of Connecticut, 
1605148,BR,P,2022-07-19,L/R,74,185,4,CT,Tommy,,Hughes,,32,Newington,Southern Connecticut State University, 
1583195,SN,O,2022-06-07,R/R,70,175,2,ME,Jacob,,Humphrey,,12,Standish,University of Massachusetts Lowell, 
1601838,VT,P,2022-07-17,R/R,74,195,2,MA,Michael,,Hutchins,,39,Norton,Saint Lawrence University, 
1563560,UV,I,2022-06-07,R/R,70,208,4,IL,Ryan,,Ignoffo,,7,Crystal Lake,Eastern Illinois University, 
1549052,MV,I,2022-07-13,R/R,71,190,4,GA,Jadyn,,Jackson,,24,Sugar Hill,Georgia Tech, 
1553522,MV,P,2022-06-07,R/R,74,180,2,FL,Dylan,,Jacobs,,22,Ocala,Florida State University, 
1555795,MY,I,2022-06-07,L/R,72,185,2,PA,Joseph,,Jaconski,,6,Plymouth Meeting,University of North Carolina Chapel Hill, 
1601850,MY,C,2022-07-08,R/R,72,200,3,NY,Ed,,Jarvis,,36,Manhasset,Northeastern University, 
1561852,NS,P,2022-06-07,R/R,78,190,4,MA,Graham,,Jeffries,,22,Chelmsford,Salve Regina University, 
1603630,VL,P,2022-07-15,R/R,69,175,2,MD,Michael,,Jensen,,25,Cockeysville,University of Massachusetts Amherst, 
1582148,VL,I,2022-06-07,R/R,76,225,4,MA,Ramon,,Jimenez,,15,Springfield,Boston College, 
1597603,NA,P,2022-06-16,R/R,75,185,2,PA,Ashton,,Johnson,,45,Nazareth,Northampton Community College, 
1554832,OS,I,2022-06-07,S/R,73,185,2,OH,Max,,Johnson,,0,Mason,Indiana University, 
1610258,OS,P,2022-07-26,R/L,72,188,4,RI,Jonathan,,Jones,,42,Warren,University of Rhode Island, 
1599080,VT,I,2022-06-24,L/R,74,210,4,FL,Tom,,Josten,,10,Orlando,University of Central Florida, 
1552694,NS,P,2022-06-07,L/L,71,195,2,PA,Gannon,,Kadlecik,,21,McKees Rocks,Radford University, 
1551585,VT,P,2022-06-07,R/R,73,190,3,FL,Christopher,,Kahler,,54,Coral Springs,George Washington University, 
1595585,SN,I,2022-06-07,L/R,76,205,2,NJ,Aidan,,Kane,,40,Madison,University of Delaware, 
1600198,BR,P,2022-06-29,L/R,74,185,4,CT,Jack,,Kelley,,17,Newington,Central Connecticut State University, 
1565577,NS,P,2022-06-07,R/R,75,205,2,MA,Timmy,,Kenney,,14,Hopedale,Lehigh University, 
1558780,SN,O,2022-06-07,R/R,68,180,2,PA,Alex,,Knapp,,2,Lancaster,George Mason University, 
1548785,OS,P,2022-06-07,R/R,73,198,3,PA,Cameron,,Knox,,17,Pittsburgh,Fordham University, 
1552584,MY,C,2022-06-07,R/R,74,215,3,RI,Addison,,Kopack,,37,Cumberland,University of Rhode Island, 
1599805,VT,P,2022-06-27,R/R,73,205,4,CA,Jarrett,,Korson,,5,Murrieta,Claremont McKenna College, 
1554593,SN,O,2022-06-07,L/L,72,190,3,FL,Jayson,,Kramer,,15,Cape Coral,Saint Johns University, 
1587037,VL,O,2022-06-07,L/R,75,200,3,MI,Jack,,Krause,,11,Brighton,Bowling Green State University, 
1589713,WN,P,2022-06-07,R/R,75,165,4,NY,Bryan,,Krolikowski,,30,Massapequa,Saint Thomas Aquinas College, 
1580943,NW,I,2022-06-07,S/R,74,190,3,NC,Samuel,,Kulasingam,,5,Holly Springs,United States Air Force Academy, 
1552712,NW,I,2022-06-07,R/R,71,185,2,NJ,Joshua,,Kuroda-Grauer,,7,Somerset,Rutgers University New Brunswick, 
1601082,VL,P,2022-07-04,R/R,72,175,3,CT,Jared,,Kuryan,,14,Madison,Western New England College, 
1597516,OS,P,2022-06-16,R/R,70,185,4,ON,Jacob,,Kush,,3,Guelph,University of Missouri Columbia, 
1605012,MY,P,2022-07-20,R/R,74,195,3,CT,Alec,,Lachniet,,31,Windsor,Eastern Connecticut State University, 
1604594,WN,P,2022-07-24,L/L,69,170,2,RI,Darek,,Lallo,,4,Warwick,Lasell College, 
1556697,NA,C,2022-06-07,R/R,77,235,4,MA,Alex,,Lane,,41,Andover,Bryant University, 
1601604,MY,I,2022-07-06,R/R,70,175,4,TX,Mason,,LaPlante,,11,Willis,University of Georgia, 
1602776,UV,I,2022-07-12,R/R,72,195,3,VA,Thomas,,Latham,,3,Powhatan,Cisco JC, 
1603618,VL,P,2022-07-15,R/R,76,200,3,CT,Matthew,,Lauria,,41,East Haddam,Western New England College, 
1561771,UV,P,2022-06-07,R/R,75,220,4,MO,Hudson,,Leach,,36,Kansas City,Miami University, 
1555462,NS,P,2022-07-12,L/R,78,215,3,MA,Max,,LeBlanc,,96,Sharon,University of Massachusetts Amherst, 
1552644,NW,O,2022-06-07,L/R,74,202,3,AL,Colton,,Ledbetter,,10,Hoover,Samford University, 
1583006,UV,P,2022-06-07,L/R,72,170,4,AL,Tyler,,Legere,,42,Madison,Lipscomb University, 
1590008,KN,P,2022-06-07,R/R,77,205,2,IL,Caden,,Leonard,,8,Mokena,Kent State University, 
1552187,NW,P,2022-06-07,R/R,72,190,4,MA,Liam,,LeVangie,,21,East Bridgewater,Bryant University, 
1555666,KN,P,2022-06-07,R/R,74,225,4,ME,Noah,,Lewis,,35,South Portland,University of Maine Orono, 
1593223,OS,C,2022-06-07,R/R,72,200,4,RI,Blaine,,Lidsky,,7,Wakefield,Stonehill College, 
1548174,DN,P,2022-06-07,R/R,76,200,4,CT,Renn,,Lints,,4,Norwalk,Bucknell University, 
1598595,UV,P,2022-06-22,R/R,73,180,3,OH,Seth,,Logue,,27,Mason,University of Kentucky, 
1583716,MV,P,2022-06-07,L/L,74,225,4,MN,Cade,,Lommel,,27,Delano,Creighton University, 
1583712,OS,C,2022-06-07,R/R,73,195,3,TX,Justin,,Long,,15,Houston,Rice University, 
1556818,UV,P,2022-06-07,R/R,73,190,2,NJ,Chris,,Lotito,,25,Red Bank,Jacksonville University, 
1562312,DN,O,2022-06-07,L/R,71,180,2,GA,Jett,,Lovett,,12,Newnan,Georgia Tech, 
1593215,NW,P,2022-06-07,R/R,76,208,4,RI,Collin,,Lowe,,16,Providence,Bryant University, 
1558166,SN,C,2022-06-07,L/R,73,190,3,NC,MJ,,Lucas,,33,Waxhaw,University of North Carolina Asheville , 
1599072,NS,I,2022-06-24,R/R,70,175,4,MA,Jonathan,,Luders,,10,Lynnfield,Seton Hall University, 
1565706,VL,I,2022-06-07,S/R,74,220,4,GA,Charlie,,Ludwick,,17,Decatur,Eastern Kentucky University, 
1552758,NW,P,2022-06-07,R/R,75,215,4,CT,John,,Lumpinski,,32,Woodbridge,Binghamton University, 
1601294,VT,I,2022-07-05,L/R,72,185,4,GA,Shane,,Lussier,,8,Berkeley Lake,Wofford College, 
1553600,VL,I,2022-06-07,L/L,72,200,4,MA,Steven,,Luttazi,,2,Franklin,University of Massachusetts Amherst, 
1586725,BR,I,2022-06-07,L/R,77,200,4,CT,Jack,,Lynch,,39,Trumbull,Manhattan College, 
1600301,DN,C,2022-06-30,R/R,73,205,4,NY,Alec,,Maag,,16,Center Moriches,Adelphi University, 
1554039,SN,P,2022-06-07,R/L,77,210,2,ON,Blake,,MacMillan,,36,Mississauga,Niagara University, 
1603312,NA,O,2022-07-14,L/L,77,240,4,ON,Ryan,,Magdic,,18,Beamsville,Florida Southern College, 
1596055,WN,P,2022-06-09,R/L,70,185,2,MA,Adam,,Maher,,13,Plymouth,University of Massachusetts Dartmouth, 
1602373,MV,P,2022-07-11,R/R,73,210,4,RI,Cabot,,Maher,,21,Barrington,Villanova University, 
1600263,DN,P,2022-06-30,R/R,73,205,4,MA,Sam,,Majewski,,49,Brewster,Mitchell College, 
1549392,NW,I,2022-06-07,L/R,75,220,4,FL,Alec,,Makarewicz,,26,Greenville,East Carolina University, 
1549037,MV,C,2022-06-07,L/R,72,160,2,NH,Matthew,,Maloney,,1,Windham,University of Dayton, 
1581997,NS,P,2022-06-07,R/R,76,220,4,MA,Luke,,Marshall,,28,Swampscott,Fairfield University, 
1563670,NW,I,2022-06-07,L/L,77,235,4,CT,Noah,,Martinez,,36,Brookfield,Central Connecticut State University, 
1548179,MV,O,2022-06-07,R/R,73,200,2,CT,Luke,,Masiuk,,18,Trumbull,Northeastern University, 
1565601,VL,O,2022-06-07,R/R,72,195,3,MO,Jevon,,Mason,,42,Cape Girardeau,Southeast Missouri State University, 
1561763,NA,P,2022-06-07,L/L,72,180,4,MA,Nathan,,Masteralexis,,9,Amherst,Gettysburg College, 
1580039,MV,P,2022-06-07,R/R,74,190,2,WA,Case,,Matter,,41,Mill Creek,University of Washington, 
1548046,OS,I,2022-06-07,L/R,70,190,4,ON,Kyle,,Maves,,1,Burlington,Quinnipiac University, 
1558137,MY,O,2022-06-07,R/R,71,185,3,VA,Tristan,,McAlister,,20,Fredericksburg,Mt State Mary's University, 
1555364,BR,O,2022-06-07,R/R,72,190,4,PA,Calvin,,McCall,,2,Malvern,University of Rhode Island, 
1552695,MV,P,2022-06-07,R/L,75,195,2,TN,JD,,Mccracken,,35,Murfreesboro,University of Tennessee, 
1558178,SN,I,2022-06-07,R/R,71,175,3,ME,Quinn,,McDaniel,,4,Eliot,University of Maine Orono, 
1599110,NS,P,2022-06-24,R/R,73,185,2,MA,Tyler,,McDonald,,20,Haverhill,Franklin Pierce University, 
1549212,VT,P,2022-06-07,L/R,73,190,4,CT,James,,McDowell,,29,Brookfield,Sacred Heart University, 
1555535,NS,O,2022-06-07,R/R,70,175,3,MA,Jake,,McElroy,,2,North Andover,College of the Holy Cross, 
1555040,VT,P,2022-06-07,R/R,74,220,4,NY,Brendan,,McFall,,48,Oceanside,Tufts University, 
1565078,MY,I,2022-06-07,R/R,74,230,2,NC,Troy,,McGirt,,25,Maxton,Wake Forest University, 
1589889,NW,P,2022-06-07,R/R,75,192,2,GA,Logan,,McGuire,,20,Acworth,Georgia Tech, 
1557508,KN,O,2022-06-07,R/R,73,180,4,FL,Tyler,,McKenzie,,30,Loxahatchee,Vanderbilt University, 
1562465,NA,P,2022-06-07,R/R,74,200,2,CA,Austin,,McKinney,,16,Woodland,University of Pacific, 
1553599,NA,P,2022-06-07,R/R,75,220,2,OH,Jack,,McMullen,,25,Chagrin Falls,Lafayette College, 
1595160,OS,P,2022-06-07,L/L,72,190,4,MA,Jake,,McOsker,,10,Acton,College of the Holy Cross, 
1572140,UV,P,2022-06-07,R/R,75,205,2,PA,Matthew,,McShane,,15,Bensalem,Saint Josephs University, 
1566083,BR,P,2022-06-07,R/R,72,195,2,PA,Colin,,McVeigh,,37,Lansdale,Fairfield University, 
1555727,OS,C,2022-06-07,L/R,72,195,2,CA,Chase,,Meggers,,40,Rocklin,University of Oregon, 
1581977,NS,P,2022-06-07,L/R,74,210,4,MA,Max,,Meier,,45,Belmont,Stanford University, 
1589473,VL,C,2022-06-07,R/R,72,195,4,NJ,Daniel,,Melnick,,12,Hamilton,Quinnipiac University, 
1596477,WN,I,2022-06-11,R/R,72,185,3,RI,Cristian,,Mercedes,,1,Providence,Southern New Hampshire University, 
1551415,VT,P,2022-06-07,R/R,76,210,3,OH,Jack,,Metzger,,23,Powell,Dartmouth College, 
1606560,MY,O,2022-08-24,L/L,70,183,3,NY,Ben,,Metzner,,2,New York,Yale University, 
1597295,MY,I,2022-06-14,L/R,73,210,3,DE,Eddie,,Micheletti,,49,Wilmington,George Washington University, 
1601774,KN,P,2022-07-07,R/R,75,215,4,NY,John,,Mikolaicyk,,25,Oneonta,Hofstra University, 
1549070,OS,O,2022-06-07,R/L,73,200,4,SC,Khyree,,Miller,,13,Columbia,Winthrop University, 
1593699,DN,I,2022-06-07,R/R,74,185,4,NY,Sam,,Mongelli,,50,Marlboro,Sacred Heart University, 
1598049,NA,C,2022-06-18,R/R,74,210,3,FL,Joaquin,,Monque,,23,Pembroke Pines,University of South Florida, 
1577226,UV,P,2022-06-07,L/L,75,210,2,NC,Nick,,Moran,,41,Wake Forest,Liberty University, 
1558821,BR,P,2022-06-07,R/R,73,200,3,RI,Michael,Thomas,Morrissey,,35,Portsmouth,Bryant University, 
1553737,DN,O,2022-06-07,R/R,73,180,2,CT,Korey,,Morton,,2,Norwalk,University of Connecticut, 
1567350,WN,P,2022-06-07,L/L,78,210,4,NH,Geoffrey,,Mosseau,,19,Bedford,University of Maine Orono, 
1549064,OS,P,2022-06-07,L/L,68,165,2,MA,Tyler,,Mudd,,9,Shrewsbury,College of the Holy Cross, 
1556143,WN,I,2022-06-07,R/R,73,220,3,NJ,Sebastian,,Mueller,,32,Califon,Quinnipiac University, 
1558150,SN,P,2022-06-07,R/R,75,210,3,ME,Jack,,Mullen,,28,Freeport,Bowdoin College, 
1563425,UV,P,2022-06-07,L/R,70,180,3,TX,Aaron,,Munson,,10,Bulverde,Angelo State University, 
1600154,WN,P,2022-06-29,R/R,75,230,4,NJ,Ian,,Murphy,,40,Woolwich,Saint Johns University, 
1585917,KN,P,2022-06-07,L/L,70,195,4,FL,Parker,,Murphy,,6,Fernandina Beach,Jacksonville University, 
1571733,VL,P,2022-06-07,R/R,75,225,3,RI,Terry,,Murray,,23,Providence,Rhode Island College, 
1555296,NA,C,2022-06-07,L/R,72,205,3,PA,Brady,,Mutz,,24,Swarthmore,Monmouth University, 
1602471,UV,O,2022-07-12,R/R,69,190,3,MS,Adarius,,Myers,,5,Seminary,Louisiana Tech University, 
1585735,BR,I,2022-06-07,R/R,71,180,3,CA,Chaz,,Myers,,5,Antioch,University of Pacific, 
1549033,MV,O,2022-06-07,L/L,73,215,3,MD,Ben,,Nardi,,23,Rockville,Catholic University of America, 
1609706,NA,P,2022-07-26,R/L,74,215,2,IN,Andrew,,Neff,,17,Martinsville,University of Cincinnati, 
1606965,NW,P,2022-07-26,L/L,70,180,2,FL,Anthony,,Nelson,,12,Pembroke Pines,East Tennessee State University, 
1598036,NA,P,2022-06-21,R/R,80,260,4,OH,Cohen,,Nies,,39,Defiance,Defiance College, 
1601840,VT,O,2022-07-09,L/L,69,180,3,MA,Nic,,Notarangelo,,41,Taunton,Endicott College, 
1591554,MY,P,2022-06-07,R/R,77,235,4,MA,Jake,,Noviello,,41,Franklin,Fairfield University, 
1597588,NS,P,2022-06-16,S/L,78,210,3,MN,JD,,Ogden,,42,White Bear Lake,Columbia University, 
1585878,UV,P,2022-06-07,R/R,74,200,3,NY,Michael,,O&#8217;Hanlon,,18,Queens,Hofstra University, 
1548770,DN,P,2022-06-07,R/R,73,195,4,CT,Billy,,Oldham,,29,Brookfield,Eastern Connecticut State University, 
1562553,NA,P,2022-06-07,L/L,72,190,3,FL,Cooper,,Omans,,30,Oviedo,Nova Southeastern University, 
1566082,BR,P,2022-06-07,R/R,73,190,2,NY,Peter,,Ostensen,,36,Staten Island,Fairfield University, 
1605978,MY,P,2022-07-21,R/R,75,200,4,CT,MacGuire,,OSullivan,,0,Durham,Assumption College, 
1603621,VL,P,2022-07-16,R/R,70,185,4,NY,Justin,,Pacheco,,20,Howard Beach,Undecided, 
1549080,MY,I,2022-06-07,L/R,74,210,4,CT,Charlie,,Pagliarini,,8,Trumbull,Fairfield University, 
